Model,Accuracy,Balanced Accuracy,Macro F1
Random Forest,0.8686868686868687,0.824987839621986,0.8449061334311746
Logistic Regression,0.7878787878787878,0.8072545340838024,0.8073597359735974
Gradient Boosting,0.7777777777777778,0.7043429921478701,0.7204917390963903
