field_id,date,NDVI,EVI,TCG,previous_ndvi,previous_evi,ndvi_change,evi_change,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,stress_class
00000000000000000000,2019-03-12,0.4050320093827421,0.2595086651052152,0.0633265589000127,0.1794112790681392,0.1701581033081946,0.2256207303146029,0.08935056179702058,0.0697736743054927,0.0969956002421685,0.1017998951263281,0.1334796259216711,0.2016498478519969,0.2206472199663544,0.2405351110779534,0.2297158388925451,0.2431909967998277,0.2123910553995402,0.1661415435922261,Moderate Stress
00000000000000000001,2019-03-12,0.1243131275831867,0.0863349935362438,-0.0265774975873241,0.1956410279852292,0.0631721577214195,-0.0713279004020425,0.023162835814824298,0.1168351480513817,0.1490873762625922,0.1783262300166354,0.1899070395452499,0.1973542962318645,0.2066525398853758,0.227151130962242,0.2162235914062522,0.2123648630246924,0.2800197662069804,0.2672730929539609,Moderate Stress
00000000000000000002,2019-03-12,0.1278616705113915,0.0901194108398922,-0.0252276351166119,0.1197521721818694,0.0751003552713723,0.008109498329522097,0.015019055568519901,0.1129156569063181,0.1473311820251144,0.1845019147800743,0.1986334985821635,0.2052058012559605,0.2168817827157304,0.2384173915134701,0.2291014476740328,0.2299669492075544,0.3172088014617819,0.3123896010379807,High Stress
00000000000000000003,2019-03-12,0.1217709465091896,0.0863494108681489,-0.0277600842185092,0.0584943464798106,0.0159669708321299,0.063276600029379,0.070382440036019,0.1142666729717374,0.1508557811181214,0.1892277801259882,0.203348173656004,0.2091008777613223,0.2200246327820097,0.2416328194387395,0.2327188182823133,0.2317543736517543,0.3235636529318159,0.3211851683738653,High Stress
00000000000000000004,2019-03-12,0.1936868505789934,0.1574988705689246,0.0036805366587792,0.170156751417761,0.1373952143828631,0.023530099161232415,0.020103656186061497,0.1154792029750939,0.1487388392749319,0.1799865109087254,0.2001220732146198,0.2325153396208879,0.2494839022372448,0.2733148844267235,0.2621150657693832,0.2610110283721684,0.3058819340491878,0.2946025821630335,Moderate Stress
00000000000000000005,2019-02-10,0.1702844918216486,0.0649868150009895,-0.0033299176178757,0.0461661849238104,0.0374831688739154,0.12411830689783819,0.0275036461270741,0.0440646867408422,0.0618615291769841,0.0792346253715074,0.0878769895211261,0.0935641704959619,0.100634825678444,0.1114096064438324,0.112783342743587,0.1092059356844665,0.1642781772224129,0.1500767569487138,High Stress
00000000000000000005,2019-02-20,0.1484141655975304,0.0704658853980111,-0.0104435589667983,0.1702844918216486,0.0649868150009895,-0.02187032622411819,0.005479070397021599,0.0628612875141087,0.0844561020697357,0.1057301312087373,0.1177117997912777,0.1244007575111988,0.131237681456117,0.1425053042451904,0.1459995544991528,0.1478976657268335,0.205167474903912,0.1941742426577053,Moderate Stress
00000000000000000005,2019-03-02,0.1750766617052185,0.0918076285945684,-0.0014935800501261,0.1484141655975304,0.0704658853980111,0.02666249610768809,0.021341743196557295,0.0673391169842085,0.0892920486846246,0.1207309646879614,0.1366338514679483,0.1452913328024352,0.155005799005482,0.1715330085834536,0.1728876212439618,0.1739094660107283,0.2470032271801256,0.223076806686627,High Stress
00000000000000000005,2019-03-12,0.1592812377399041,0.1015012398953697,-0.0148949657478133,0.1750766617052185,0.0918076285945684,-0.015795423965314387,0.009693611300801305,0.0973205972099565,0.1152406355130375,0.1390731283924812,0.1522354913895856,0.1606947005170735,0.172024578892922,0.1916905397576308,0.187405494458429,0.1879985904819581,0.2614467829382387,0.2462211098794206,High Stress
00000000000000000005,2019-03-22,0.1433441957676994,0.0910421605701469,-0.0204793314351201,0.1592812377399041,0.1015012398953697,-0.01593704197220469,-0.010459079325222803,0.098603622337577,0.1160381716437237,0.1406471482785203,0.1550027572732254,0.1632054938078838,0.1734965243619878,0.188805552369763,0.1879168126579381,0.190498032064756,0.2447433982633561,0.2369992046844406,Moderate Stress
